claim_start_date,claim_id,tenure,exposure_id,claim_status,condition_category,claim_paid,total_claim_amount,nb_postcode,nb_suburb,nb_state,median_income,UW_Date,pet_gender,pet_de_sexed,pet_de_sexed_age,pet_is_switcher,nb_policy_first_inception_date,pet_age_months,nb_contribution,nb_excess,nb_address_type_adj,person_dob,nb_contribution_excess,pet_age_years,owner_age_years,nb_number_of_breeds,nb_average_breed_size,nb_breed_type,nb_breed_trait,nb_breed_name_unique,nb_breed_name_unique_concat,is_multi_pet_plan,lead_date_day,quote_date,quote_time_group,exposure_id_1,row_num,earned_units,SA1,SA2,SA3,SA4,mm_category
2024-01-03T00:00:00Z,claim_5215382f-3933-41c7-b101-012b46a8d902,1,exposure_f78813e4-0434-4a09-9896-a15580c34926,covered_paid,Ingestion,147.57272727272726,275.3818181818182,3095,Eltham,VIC,60025,2024-01-01T00:00:00Z,male,TRUE,4-6 months,FALSE,2023-12-07T17:00:00Z,74,80,100,Apartment,1988-02-28,80100,6 years,35,1,1,purebred,teckel,dachshundminiature smooth haired,dachshundminiature smooth haired,FALSE,0,2023-11-14T06:11:46Z,Morning (05:00 - 11:59),exposure_f78813e4-0434-4a09-9896-a15580c34926,1,1,Research,Research - North Warrandyte,Nillumbik - Kinglake,Melbourne - North East,1
2024-01-03T00:00:00Z,claim_5547d71b-1d67-4593-a87f-3675ef7939cb,1,exposure_5aebdd10-9a69-4db3-928b-f92c0b917955,covered_with_exclusions_paid,Other,312.7545454545454,609.0727272727272,3121,Cremorne,VIC,68966,2024-01-01T00:00:00Z,female,FALSE,FALSE,FALSE,2023-12-24T17:00:00Z,2,80,100,House,1998-10-27,80100,0-6 months,25,1,3,purebred,shepherd type,german shepherd,german shepherd,FALSE,0,2023-12-25T15:44:15Z,Afternoon (12:00 - 17:59),exposure_5aebdd10-9a69-4db3-928b-f92c0b917955,1,1,Richmond (Vic.),Richmond - North,Yarra,Melbourne - Inner,1
2024-01-03T00:00:00Z,claim_7fe54a18-f827-4e78-b030-ed3b340eb66c,2,exposure_506de752-f0ab-4c93-a010-8fa81b0a47f3,covered_paid,Ingestion,283.7818181818182,315.3181818181818,2444,Port Macquarie,NSW,42672,2024-01-01T00:00:00Z,male,FALSE,FALSE,FALSE,2023-11-19T17:00:00Z,2,90,0,House,1994-04-23,900,0-6 months,29,1,2,purebred,collie related,border collie,border collie,FALSE,0,2023-11-20T20:50:10Z,Evening (18:00 - 23:59),exposure_506de752-f0ab-4c93-a010-8fa81b0a47f3,1,1,Port Macquarie,Port Macquarie - South,Port Macquarie,Mid North Coast,3
2024-01-03T00:00:00Z,claim_90394d34-a24f-4295-b3dd-d0f05e095790,1,exposure_a68d1906-c14b-49aa-87cb-09b8cc68f75c,covered_with_exclusions_paid,Other,82.1090909090909,122.59090909090908,3033,Keilor East,VIC,46314,2024-01-01T00:00:00Z,male,FALSE,FALSE,FALSE,2023-12-14T17:00:00Z,2,100,100,House,1994-07-26,100100,0-6 months,29,1,3,purebred,spitz related,chow chow,chow chow,FALSE,0,2023-12-15T00:17:41Z,Late Night (00:00 - 04:59),exposure_a68d1906-c14b-49aa-87cb-09b8cc68f75c,1,1,Keilor East,Keilor East,Brimbank,Melbourne - West,1
2024-01-03T00:00:00Z,claim_c5ef8961-4264-4296-889b-65b52f54dc89,2,exposure_c782d1c1-d79f-4b2d-89c4-a9b06764d296,covered_paid,Illness,43.99999999999999,54.99999999999999,3072,Preston,VIC,51160,2024-01-01T00:00:00Z,female,FALSE,FALSE,FALSE,2023-11-21T17:00:00Z,4,80,100,House,1985-01-19,80100,0-6 months,38,1,3,unnamed cross,unknown,american staffordshire terrier cross,american staffordshire terrier cross,FALSE,0,2023-11-22T21:50:15Z,Evening (18:00 - 23:59),exposure_c782d1c1-d79f-4b2d-89c4-a9b06764d296,1,1,Reservoir (Vic.),Reservoir - South West,Darebin - North,Melbourne - North East,1
2024-01-03T00:00:00Z,claim_f20b6c89-7289-4dfb-a272-c0debc4d4c1a,1,exposure_eda8ed2b-0ecc-46c3-948e-01e0a2989296,covered_paid,Injuries,64.72727272727272,80.9090909090909,4207,Cedar Creek,QLD,49655,2024-01-01T00:00:00Z,female,FALSE,FALSE,FALSE,2023-12-22T17:00:00Z,4,80,100,House,1964-02-05,80100,0-6 months,59,1,1,designerbreed,water dog,cavoodle,cavoodle,FALSE,0,2023-12-23T00:51:22Z,Late Night (00:00 - 04:59),exposure_eda8ed2b-0ecc-46c3-948e-01e0a2989296,1,1,Edens Landing,Bethania - Waterford,Loganlea - Carbrook,Logan - Beaudesert,2
2024-01-04T00:00:00Z,claim_2ec1c553-deb5-467c-a1b4-a8ff6ea64a56,1,exposure_f9825843-3c3b-48dd-ac81-61e6bd5b7908,covered_paid,Allergies & skin,37.06363636363636,41.18181818181817,3284,Port Fairy,VIC,46843,2024-01-01T00:00:00Z,male,FALSE,FALSE,FALSE,2023-12-21T17:00:00Z,4,90,0,House,1964-11-02,900,0-6 months,59,1,1,purebred,terrier,border terrier,border terrier,FALSE,0,2023-12-22T17:02:52Z,Afternoon (12:00 - 17:59),exposure_f9825843-3c3b-48dd-ac81-61e6bd5b7908,1,1,Rosebrook (Vic.),Moyne - West,Warrnambool - Otway Ranges,Warrnambool and South West,5
2024-01-04T00:00:00Z,claim_5e8517b8-a743-45af-8c1a-040c1c919953,0,exposure_c1bac6c2-b573-425a-bb7f-df2cb3fec0eb,covered_with_exclusions_paid,Eyes & ears,71.7090909090909,241.77272727272725,2145,Constitution Hill,NSW,54659,2024-01-01T00:00:00Z,female,FALSE,FALSE,FALSE,2024-01-02T17:00:00Z,3,90,0,House,1986-07-20,900,0-6 months,37,1,3,purebred,water dog,poodlestandard,poodlestandard,FALSE,0,2024-01-03T08:55:02Z,Morning (05:00 - 11:59),exposure_c1bac6c2-b573-425a-bb7f-df2cb3fec0eb,1,1,Merrylands,Wentworthville - Westmead,Parramatta,Sydney - Parramatta,1
2024-01-04T00:00:00Z,claim_74267e08-d44a-4898-8f3e-49b2268e3a2a,2,exposure_89892b58-291b-4491-96a8-526f1f15633f,covered_with_exclusions_paid,Allergies & skin,85.6,110.8181818181818,5255,Strathalbyn,SA,45960,2024-01-01T00:00:00Z,male,TRUE,0-3 months,FALSE,2023-11-29T17:00:00Z,3,80,0,House,1967-09-16,800,0-6 months,56,1,3,designerbreed,water dog,labradoodle,labradoodle,FALSE,0,2023-11-29T19:31:14Z,Evening (18:00 - 23:59),exposure_89892b58-291b-4491-96a8-526f1f15633f,1,1,Wellington (SA),Murray Bridge Surrounds,Murray and Mallee,South Australia - South East,4
2024-01-04T00:00:00Z,claim_82bb362d-61e5-4a21-8acf-b9d1f3858cc6,0,exposure_c1bac6c2-b573-425a-bb7f-df2cb3fec0eb,covered_paid,Eyes & ears,122.6,136.22727272727272,2145,Constitution Hill,NSW,54659,2024-01-01T00:00:00Z,female,FALSE,FALSE,FALSE,2024-01-02T17:00:00Z,3,90,0,House,1986-07-20,900,0-6 months,37,1,3,purebred,water dog,poodlestandard,poodlestandard,FALSE,0,2024-01-03T08:55:02Z,Morning (05:00 - 11:59),exposure_c1bac6c2-b573-425a-bb7f-df2cb3fec0eb,1,1,Merrylands,Wentworthville - Westmead,Parramatta,Sydney - Parramatta,1
2024-01-04T00:00:00Z,claim_a9e9e92c-1227-4a82-a94a-84dff49dafa4,2,exposure_236b6c41-2120-43ae-82b1-dea2818ed83c,covered_with_exclusions_paid,Injuries,1044.2272727272727,1198.9636363636362,3029,Tarneit,VIC,52130,2024-01-01T00:00:00Z,male,TRUE,4-6 months,FALSE,2023-11-22T17:00:00Z,12,100,100,House,2000-02-22,100100,7-12 months,23,1,3,purebred,shepherd type,german shepherd,german shepherd,FALSE,0,2023-11-21T12:58:04Z,Afternoon (12:00 - 17:59),exposure_236b6c41-2120-43ae-82b1-dea2818ed83c,1,1,Truganina,Truganina - South West,Wyndham,Melbourne - West,1
2024-01-04T00:00:00Z,claim_bfc9368c-b466-4207-80e0-0d7129c1f13c,1,exposure_9e75dd9c-ca65-4dda-b226-dbe9f15083d3,covered_paid,Allergies & skin,25.5,116.4090909090909,2259,Hamlyn Terrace,NSW,49779,2024-01-01T00:00:00Z,female,TRUE,1-2 years,FALSE,2023-11-30T17:00:00Z,27,100,100,House,1991-09-24,100100,2 years,32,1,2,purebred,collie related,border collie,border collie,FALSE,0,2023-11-03T16:51:35Z,Afternoon (12:00 - 17:59),exposure_9e75dd9c-ca65-4dda-b226-dbe9f15083d3,1,1,Lake Macquarie,Wangi Wangi - Rathmines,Lake Macquarie - West,Newcastle and Lake Macquarie,1
2024-01-04T00:00:00Z,claim_c4159d9b-4829-4498-b7ae-2be3cd61cefd,1,exposure_16f9bb13-e9e9-4040-a2f7-8b00644d1691,covered_paid,Ingestion,282.8181818181818,405.1545454545454,3141,South Yarra,VIC,69578,2024-01-01T00:00:00Z,female,FALSE,FALSE,FALSE,2023-12-30T17:00:00Z,2,90,100,House,1966-06-29,90100,0-6 months,57,1,3,purebred,retriever,golden retriever,golden retriever,FALSE,0,2023-12-31T10:29:08Z,Morning (05:00 - 11:59),exposure_16f9bb13-e9e9-4040-a2f7-8b00644d1691,1,1,South Yarra,South Yarra - South,Stonnington - West,Melbourne - Inner,1
2024-01-04T00:00:00Z,claim_f0531c9f-2803-4d3e-a053-3fd95a0187b9,0,exposure_c1bac6c2-b573-425a-bb7f-df2cb3fec0eb,covered_with_exclusions_paid,Eyes & ears,90.36363636363636,145.27272727272728,2145,Constitution Hill,NSW,54659,2024-01-01T00:00:00Z,female,FALSE,FALSE,FALSE,2024-01-02T17:00:00Z,3,90,0,House,1986-07-20,900,0-6 months,37,1,3,purebred,water dog,poodlestandard,poodlestandard,FALSE,0,2024-01-03T08:55:02Z,Morning (05:00 - 11:59),exposure_c1bac6c2-b573-425a-bb7f-df2cb3fec0eb,1,1,Merrylands,Wentworthville - Westmead,Parramatta,Sydney - Parramatta,1
2024-01-05T00:00:00Z,claim_132bd0b8-2fc5-4b0f-8247-2b339c5f5733,1,exposure_5aebdd10-9a69-4db3-928b-f92c0b917955,covered_with_exclusions_paid,Other,1324.7272727272727,1814.5454545454545,3121,Cremorne,VIC,68966,2024-01-01T00:00:00Z,female,FALSE,FALSE,FALSE,2023-12-24T17:00:00Z,2,80,100,House,1998-10-27,80100,0-6 months,25,1,3,purebred,shepherd type,german shepherd,german shepherd,FALSE,0,2023-12-25T15:44:15Z,Afternoon (12:00 - 17:59),exposure_5aebdd10-9a69-4db3-928b-f92c0b917955,1,1,Richmond (Vic.),Richmond - North,Yarra,Melbourne - Inner,1
2024-01-05T00:00:00Z,claim_33bd8545-577b-4771-b682-a0deead66a94,2,exposure_89892b58-291b-4491-96a8-526f1f15633f,covered_paid,Illness,32.72727272727273,40.90909090909091,5255,Strathalbyn,SA,45960,2024-01-01T00:00:00Z,male,TRUE,0-3 months,FALSE,2023-11-29T17:00:00Z,3,80,0,House,1967-09-16,800,0-6 months,56,1,3,designerbreed,water dog,labradoodle,labradoodle,FALSE,0,2023-11-29T19:31:14Z,Evening (18:00 - 23:59),exposure_89892b58-291b-4491-96a8-526f1f15633f,1,1,Wellington (SA),Murray Bridge Surrounds,Murray and Mallee,South Australia - South East,4
2024-01-05T00:00:00Z,claim_3ff77344-41c0-492b-a58e-01704fc6b030,3,exposure_751cf263-4faf-4d38-84bc-c0448f135496,covered_paid,Gastrointestinal Issues,148.77272727272725,239.68181818181813,2478,East Ballina,NSW,47403,2024-01-01T00:00:00Z,male,TRUE,4-6 months,FALSE,2023-10-15T17:00:00Z,62,100,100,Apartment,1992-12-08,100100,5 years,30,1,1,unnamed cross,unknown,pug cross,pug cross,FALSE,0,2023-10-16T12:23:31Z,Afternoon (12:00 - 17:59),exposure_751cf263-4faf-4d38-84bc-c0448f135496,1,1,Skennars Head,Lennox Head - Skennars Head,Richmond Valley - Coastal,Richmond - Tweed,3
2024-01-05T00:00:00Z,claim_42907b3a-33a7-4f7c-a1eb-094c0120d12d,2,exposure_28cb3a8a-0cce-4dbc-b2fc-31a9483d8371,covered_paid,Ingestion,552,780.9090909090909,6209,Furnissdale,WA,50983,2024-01-01T00:00:00Z,female,FALSE,FALSE,FALSE,2023-11-19T17:00:00Z,3,80,100,House,1965-03-05,80100,0-6 months,58,1,3,unnamed cross,unknown,american staffordshire terrier cross,american staffordshire terrier cross,FALSE,0,2023-11-20T11:05:44Z,Morning (05:00 - 11:59),exposure_28cb3a8a-0cce-4dbc-b2fc-31a9483d8371,1,1,Stake Hill,Pinjarra,Mandurah,Mandurah,1
2024-01-05T00:00:00Z,claim_6146ed33-ac83-48f0-bd39-24061662327b,1,exposure_3ce3de8f-d500-460d-a3ef-7e407375722e,covered_paid,Other,258.72727272727275,349.6363636363636,3046,Hadfield,VIC,52379,2024-01-01T00:00:00Z,male,FALSE,FALSE,FALSE,2023-12-29T17:00:00Z,2,100,100,House,1987-06-21,100100,0-6 months,36,1,3,purebred,retriever,labrador retriever,labrador retriever,TRUE,0,2023-12-30T21:01:31Z,Evening (18:00 - 23:59),exposure_3ce3de8f-d500-460d-a3ef-7e407375722e,1,1,Oak Park,Pascoe Vale,Moreland - North,Melbourne - North West,1
2024-01-05T00:00:00Z,claim_8ee247ae-93d5-4e69-a028-93f815dd9916,1,exposure_a68d1906-c14b-49aa-87cb-09b8cc68f75c,covered_paid,Other,1302.5454545454545,1628.181818181818,3033,Keilor East,VIC,46314,2024-01-01T00:00:00Z,male,FALSE,FALSE,FALSE,2023-12-14T17:00:00Z,2,100,100,House,1994-07-26,100100,0-6 months,29,1,3,purebred,spitz related,chow chow,chow chow,FALSE,0,2023-12-15T00:17:41Z,Late Night (00:00 - 04:59),exposure_a68d1906-c14b-49aa-87cb-09b8cc68f75c,1,1,Keilor East,Keilor East,Brimbank,Melbourne - West,1
2024-01-05T00:00:00Z,claim_f03b6ef4-357e-4204-912a-15beaef76c39,2,exposure_afc344de-c9c6-408d-a561-2b0211ec59d5,covered_paid,Gastrointestinal Issues,55.2,159.9090909090909,3427,Diggers Rest,VIC,54031,2024-01-01T00:00:00Z,male,FALSE,FALSE,FALSE,2023-11-20T17:00:00Z,3,80,100,House,1995-07-25,80100,0-6 months,28,1,2,designerbreed,water dog,mini groodle,mini groodle,FALSE,0,2023-11-21T18:44:11Z,Evening (18:00 - 23:59),exposure_afc344de-c9c6-408d-a561-2b0211ec59d5,1,1,Diggers Rest,Sunbury - South,Melton - Bacchus Marsh,Melbourne - West,1
2024-01-05T00:00:00Z,claim_f7ecd3f6-e5cf-47d1-9175-a7d3984f0ce9,2,exposure_c9692898-5931-47cf-b1db-8aa3f1fda7d8,covered_paid,Illness,273.99090909090904,364.9,2137,Cabarita,NSW,62464,2024-01-01T00:00:00Z,female,FALSE,FALSE,FALSE,2023-11-06T17:00:00Z,4,100,100,House,1955-10-01,100100,0-6 months,68,1,3,purebred,water dog,poodlestandard,poodlestandard,FALSE,0,2023-11-07T10:49:03Z,Morning (05:00 - 11:59),exposure_c9692898-5931-47cf-b1db-8aa3f1fda7d8,1,1,North Strathfield,Concord West - North Strathfield,Strathfield - Burwood - Ashfield,Sydney - Inner West,1
2024-01-06T00:00:00Z,claim_011596b5-6a5b-453f-8e6d-28df2ae5e856,2,exposure_e726f411-cfb7-4fe8-9024-96487a8e4452,covered_paid,Eyes & ears,131.57272727272726,255.38181818181815,3067,Abbotsford,VIC,67196,2024-01-01T00:00:00Z,female,FALSE,FALSE,FALSE,2023-11-22T17:00:00Z,64,80,100,House,1976-03-17,80100,5 years,47,1,2,purebred,collie related,australian shepherd,australian shepherd,FALSE,0,2023-11-23T05:48:42Z,Morning (05:00 - 11:59),exposure_e726f411-cfb7-4fe8-9024-96487a8e4452,1,1,Clifton Hill,Clifton Hill - Alphington,Yarra,Melbourne - Inner,1
2024-01-06T00:00:00Z,claim_97ad213f-843e-4552-944c-7628803dde87,2,exposure_a1f1d58c-8bb9-4960-b178-d70844a99c6f,covered_paid,Ingestion,449.9181818181818,653.3090909090909,4020,Scarborough,QLD,49722,2024-01-01T00:00:00Z,female,FALSE,FALSE,FALSE,2023-11-23T17:00:00Z,18,80,100,House,1963-05-09,80100,1 years,60,1,1,unnamed cross,unknown,fox terrier cross,fox terrier cross,FALSE,0,2023-11-24T06:27:37Z,Morning (05:00 - 11:59),exposure_a1f1d58c-8bb9-4960-b178-d70844a99c6f,1,1,Scarborough (Qld),Scarborough - Newport,Redcliffe,Moreton Bay - North,1
2024-01-06T00:00:00Z,claim_d9997903-56fc-4355-bb5f-86904fd9354c,1,exposure_8dda4395-f335-4d23-a293-e66dbf6d14f3,covered_paid,Gastrointestinal Issues,86.36363636363636,177.27272727272725,2135,Strathfield,NSW,51126,2024-01-01T00:00:00Z,male,FALSE,FALSE,FALSE,2023-12-05T17:00:00Z,6,100,100,House,1994-08-08,100100,0-6 months,29,1,2,purebred,spaniel,cocker spaniel,cocker spaniel,FALSE,0,2023-12-05T23:21:36Z,Evening (18:00 - 23:59),exposure_8dda4395-f335-4d23-a293-e66dbf6d14f3,1,1,Strathfield (NSW),Strathfield - West,Strathfield - Burwood - Ashfield,Sydney - Inner West,1
2024-01-06T00:00:00Z,claim_f688726a-bc85-4c92-a4f6-baf2fe958300,2,exposure_c782d1c1-d79f-4b2d-89c4-a9b06764d296,covered_paid,Illness,42.18181818181818,52.72727272727272,3072,Preston,VIC,51160,2024-01-01T00:00:00Z,female,FALSE,FALSE,FALSE,2023-11-21T17:00:00Z,4,80,100,House,1985-01-19,80100,0-6 months,38,1,3,unnamed cross,unknown,american staffordshire terrier cross,american staffordshire terrier cross,FALSE,0,2023-11-22T21:50:15Z,Evening (18:00 - 23:59),exposure_c782d1c1-d79f-4b2d-89c4-a9b06764d296,1,1,Reservoir (Vic.),Reservoir - South West,Darebin - North,Melbourne - North East,1
2024-01-08T00:00:00Z,claim_068a1cb6-e2f3-4465-a804-c287d8ba0f4e,2,exposure_206dcca1-39b7-4e9d-b04d-9a6ca6c127a7,covered_paid,Other,320.1545454545454,446.6363636363636,6123,Mundijong,WA,54991,2024-01-01T00:00:00Z,female,FALSE,FALSE,FALSE,2023-11-22T17:00:00Z,4,90,100,House,1960-10-06,90100,0-6 months,63,1,1,unnamed cross,unknown,chihuahua cross,chihuahua cross,FALSE,0,2023-11-15T22:19:39Z,Evening (18:00 - 23:59),exposure_206dcca1-39b7-4e9d-b04d-9a6ca6c127a7,1,1,Whitby,Mundijong,Serpentine - Jarrahdale,Perth - South East,1
2024-01-08T00:00:00Z,claim_0e02d3b3-7e55-4296-a420-edb3c0f20038,1,exposure_a68d1906-c14b-49aa-87cb-09b8cc68f75c,covered_paid,Routine Care and Examinations,321.45454545454544,401.8181818181818,3033,Keilor East,VIC,46314,2024-01-01T00:00:00Z,male,FALSE,FALSE,FALSE,2023-12-14T17:00:00Z,2,100,100,House,1994-07-26,100100,0-6 months,29,1,3,purebred,spitz related,chow chow,chow chow,FALSE,0,2023-12-15T00:17:41Z,Late Night (00:00 - 04:59),exposure_a68d1906-c14b-49aa-87cb-09b8cc68f75c,1,1,Keilor East,Keilor East,Brimbank,Melbourne - West,1
2024-01-08T00:00:00Z,claim_2ee988b1-fb21-449d-9d4a-b79d84d1e33e,1,exposure_b3ba51bf-89b5-4c31-81d9-491116456089,covered_paid,Other,252.0909090909091,315.11818181818177,6112,Armadale,WA,56278,2024-01-01T00:00:00Z,female,FALSE,FALSE,FALSE,2023-12-20T17:00:00Z,6,80,100,House,2001-11-16,80100,0-6 months,22,1,4,purebred,mastiff,bullmastiff,bullmastiff,FALSE,0,2023-12-21T12:35:34Z,Afternoon (12:00 - 17:59),exposure_b3ba51bf-89b5-4c31-81d9-491116456089,1,1,Piara Waters,Piara Waters - Forrestdale,Gosnells,Perth - South East,1
